V,E,A,FB,NER,MB,RHO,SVD,MSE
11,8,-0.4341780859175823,1.563706319343507,0.9148936170212766,4,0.1826468834409667,0.1826468834409738,0.00823045267489712
11,8,-0.7269501135465088,1.27197133955172,0.8085106382978723,5,0.713750377125077,0.7137503771250202,0.03428571428571429
11,8,-0.7930970291622518,1.6059536294997576,0.8409090909090909,5,0.21020853084720414,0.2102085308472006,0.010638297872340425
11,8,-0.6097462897685495,0.7434176439085217,0.6923076923076923,4,0.9358432425714369,0.9358432425714565,0.039735099337748346
11,8,-0.04674276832246788,1.4530045977196844,0.6585365853658537,5,0.5787325876893981,0.5787325876893998,0.026845637583892617
11,8,-0.7194619633862099,0.9358397863786618,0.5789473684210527,4,0.5496027074280025,0.5496027074280132,0.025974025974025976
11,8,-0.265002207334349,1.3835678792529835,0.5365853658536586,5,0.3999623293117942,0.399962329311796,0.0
11,8,-0.12951243007405683,0.9521237650882731,0.5957446808510638,4,2.0098671975518876,2.0098671975518734,0.05025125628140704
11,8,-0.39642149131124355,1.421973247454045,0.6363636363636364,4,0.9634861913065063,0.9634861913064743,0.0125
11,8,-0.28018120498882787,1.6238284299979748,0.46808510638297873,4,0.9948991895286312,0.9948991895286348,0.0546448087431694
11,8,-0.14931968221269903,1.238706262186756,0.36585365853658536,4,2.4819478765847194,2.481947876584764,0.047337278106508875
11,8,-0.4160360977506288,1.5762369397008469,0.29545454545454547,5,0.26628286170174675,0.26628286170177873,0.011363636363636364
11,8,-0.39970194348477284,0.5582717333316727,0.3333333333333333,4,1.3664380892262464,1.3664380892262447,0.04580152671755725
11,8,-1.1023687223143737e-16,1.3122773049900718,0.2631578947368421,4,0.0,0.0,0.0
11,8,-1.114416645017896e-15,1.1761742932022756,0.13157894736842105,3,0.18280321809204736,0.18280321809204736,0.02197802197802198
11,8,-1.2565178385418576,1.6187149403198224,0.18181818181818182,4,1.0534085887583657,1.0534085887583942,0.028846153846153848
11,8,-0.5663830934103233,1.6978739846945285,0.1,4,0.16570852018298865,0.1657085201829389,0.007751937984496124
11,8,-0.07336780957370921,1.2726734088226643,0.0975609756097561,3,0.10760861706561897,0.10760861706560476,0.0
11,8,0.0,5.784703961152695e-16,1.0,0,0.0,0.0,0.0
10,8,2.0144928667503824e-16,2.3468642365253993,0.0,0,0.0,0.0,0.0
10,8,-1.3925366915661421,1.7136652352786745,0.8775510204081632,4,0.35909190917165645,0.35909190917167066,0.017777777777777778
10,8,-0.7532429144977644,2.412932072735993,0.88,5,0.42548387321342673,0.42548387321342673,0.01
10,8,-0.37997444072209796,2.4416659797429,0.8703703703703703,3,0.339930707207607,0.3399307072076354,0.0
10,8,-0.20030221734200102,2.625299901025893,0.7169811320754716,6,1.7531955958944891,1.7531955958945282,0.03428571428571429
10,8,-0.6045839531254804,2.7173200043006034,0.7017543859649122,6,1.3579966722332593,1.3579966722332948,0.010471204188481676
10,8,-0.5262221560680698,1.6909561106997462,0.6181818181818182,6,2.715819827392968,2.7158198273929663,0.07100591715976332
10,8,-0.7706889246671479,1.7989383360139781,0.7735849056603774,6,1.7484855397291739,1.748485539729156,0.0
10,8,-0.5591867421936462,2.2820372912771036,0.5094339622641509,6,2.1771072887966163,2.177107288796609,0.032432432432432434
10,8,0.026070460843152888,2.9660306769358047,0.625,6,1.6803774953312924,1.6803774953312534,0.02247191011235955
10,8,-0.14636566354471994,2.6189970295718683,0.47540983606557374,6,2.7226696037010036,2.722669603701,0.030456852791878174
10,8,-1.188547203281512,2.489594322764461,0.48214285714285715,6,1.5672555533218038,1.5672555533218073,0.03409090909090909
10,8,0.34588378047129187,2.4369990860993216,0.45614035087719296,6,4.439059010777658,4.4390590107776156,0.0335195530726257
10,8,-0.3918256225992597,2.655275511780936,0.46296296296296297,6,0.6971577205993533,0.6971577205993675,0.00980392156862745
10,8,-1.241525439935321,2.8640402991770744,0.25,4,1.673735205168839,1.6737352051688887,0.0
10,8,-0.4155187850083879,2.2480683955449132,0.39215686274509803,6,1.7183251665237975,1.7183251665237975,0.022598870056497175
